"cod_ibge","municipio","valor","ano","tipo","valor_estado","metrica"
3506359,"Bertioga",13.89878831,2014,"Longevidade",11.45,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3506359,"Bertioga",12.42236025,2016,"Longevidade",10.76,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3506359,"Bertioga",13.77763537,2018,"Longevidade",10.78,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3506359,"Bertioga",13.10483871,2020,"Longevidade",10.47,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3506359,"Bertioga",14.43795119,2022,"Longevidade",10.33,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3506359,"Bertioga",20.14588399,2024,"Longevidade",11.16,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3513504,"Cubatão",19.49521323,2014,"Longevidade",11.45,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3513504,"Cubatão",16.38080555,2016,"Longevidade",10.76,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3513504,"Cubatão",14.439699,2018,"Longevidade",10.78,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3513504,"Cubatão",12.75239107,2020,"Longevidade",10.47,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3513504,"Cubatão",10.42149143,2022,"Longevidade",10.33,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3513504,"Cubatão",17.4752217,2024,"Longevidade",11.16,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3518701,"Guarujá",19.33277499,2014,"Longevidade",11.45,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3518701,"Guarujá",16.06631942,2016,"Longevidade",10.76,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3518701,"Guarujá",16.84005688,2018,"Longevidade",10.78,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3518701,"Guarujá",17.41332911,2020,"Longevidade",10.47,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3518701,"Guarujá",16.1233789,2022,"Longevidade",10.33,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3518701,"Guarujá",15.73896353,2024,"Longevidade",11.16,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3522109,"Itanhaém",12.9330254,2014,"Longevidade",11.45,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3522109,"Itanhaém",9.978617249,2016,"Longevidade",10.76,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3522109,"Itanhaém",9.873060649,2018,"Longevidade",10.78,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3522109,"Itanhaém",13.29144514,2020,"Longevidade",10.47,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3522109,"Itanhaém",9.338717819,2022,"Longevidade",10.33,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3522109,"Itanhaém",7.806401249,2024,"Longevidade",11.16,"Taxas de mortalidade infantil (por mil nascidos vivos)"
3531100,"Mongaguá",10.72647489,2014,"Longevidade",11.45,"Taxas de mortalidade infantil (por mil nascidos vivos)"
