"cod_ibge","municipio","valor","ano","tipo","valor_estado","metrica"
3506359,"Bertioga",17.26543425,2014,"Escolaridade",14.5,"Taxas de distorção idade-série no Ensino Médio (%)"
3506359,"Bertioga",16.45526226,2016,"Escolaridade",13.57,"Taxas de distorção idade-série no Ensino Médio (%)"
3506359,"Bertioga",16.79529585,2018,"Escolaridade",13.23,"Taxas de distorção idade-série no Ensino Médio (%)"
3506359,"Bertioga",15.07601351,2020,"Escolaridade",12.07,"Taxas de distorção idade-série no Ensino Médio (%)"
3506359,"Bertioga",13.3,2022,"Escolaridade",10.86,"Taxas de distorção idade-série no Ensino Médio (%)"
3506359,"Bertioga",12.5,2024,"Escolaridade",9.47,"Taxas de distorção idade-série no Ensino Médio (%)"
3513504,"Cubatão",26.80225168,2014,"Escolaridade",14.5,"Taxas de distorção idade-série no Ensino Médio (%)"
3513504,"Cubatão",25.87324451,2016,"Escolaridade",13.57,"Taxas de distorção idade-série no Ensino Médio (%)"
3513504,"Cubatão",22.52768232,2018,"Escolaridade",13.23,"Taxas de distorção idade-série no Ensino Médio (%)"
3513504,"Cubatão",17.29559748,2020,"Escolaridade",12.07,"Taxas de distorção idade-série no Ensino Médio (%)"
3513504,"Cubatão",14.61,2022,"Escolaridade",10.86,"Taxas de distorção idade-série no Ensino Médio (%)"
3513504,"Cubatão",12.2,2024,"Escolaridade",9.47,"Taxas de distorção idade-série no Ensino Médio (%)"
3518701,"Guarujá",19.17363715,2014,"Escolaridade",14.5,"Taxas de distorção idade-série no Ensino Médio (%)"
3518701,"Guarujá",17.63846368,2016,"Escolaridade",13.57,"Taxas de distorção idade-série no Ensino Médio (%)"
3518701,"Guarujá",17.43022643,2018,"Escolaridade",13.23,"Taxas de distorção idade-série no Ensino Médio (%)"
3518701,"Guarujá",15.63723745,2020,"Escolaridade",12.07,"Taxas de distorção idade-série no Ensino Médio (%)"
3518701,"Guarujá",13.6,2022,"Escolaridade",10.86,"Taxas de distorção idade-série no Ensino Médio (%)"
3518701,"Guarujá",11.4,2024,"Escolaridade",9.47,"Taxas de distorção idade-série no Ensino Médio (%)"
3522109,"Itanhaém",18.20448878,2014,"Escolaridade",14.5,"Taxas de distorção idade-série no Ensino Médio (%)"
3522109,"Itanhaém",15.91192356,2016,"Escolaridade",13.57,"Taxas de distorção idade-série no Ensino Médio (%)"
3522109,"Itanhaém",15.926255,2018,"Escolaridade",13.23,"Taxas de distorção idade-série no Ensino Médio (%)"
3522109,"Itanhaém",15.7353285,2020,"Escolaridade",12.07,"Taxas de distorção idade-série no Ensino Médio (%)"
3522109,"Itanhaém",14.49,2022,"Escolaridade",10.86,"Taxas de distorção idade-série no Ensino Médio (%)"
3522109,"Itanhaém",13,2024,"Escolaridade",9.47,"Taxas de distorção idade-série no Ensino Médio (%)"
3531100,"Mongaguá",18.26368876,2014,"Escolaridade",14.5,"Taxas de distorção idade-série no Ensino Médio (%)"
3531100,"Mongaguá",16.49521107,2016,"Escolaridade",13.57,"Taxas de distorção idade-série no Ensino Médio (%)"
3531100,"Mongaguá",19.72424358,2018,"Escolaridade",13.23,"Taxas de distorção idade-série no Ensino Médio (%)"
3531100,"Mongaguá",17.35319895,2020,"Escolaridade",12.07,"Taxas de distorção idade-série no Ensino Médio (%)"
3531100,"Mongaguá",18.1,2022,"Escolaridade",10.86,"Taxas de distorção idade-série no Ensino Médio (%)"
3531100,"Mongaguá",13.9,2024,"Escolaridade",9.47,"Taxas de distorção idade-série no Ensino Médio (%)"
3537602,"Peruíbe",18.79453682,2014,"Escolaridade",14.5,"Taxas de distorção idade-série no Ensino Médio (%)"
3537602,"Peruíbe",16.52200868,2016,"Escolaridade",13.57,"Taxas de distorção idade-série no Ensino Médio (%)"
3537602,"Peruíbe",16.992,2018,"Escolaridade",13.23,"Taxas de distorção idade-série no Ensino Médio (%)"
3537602,"Peruíbe",14.04985432,2020,"Escolaridade",12.07,"Taxas de distorção idade-série no Ensino Médio (%)"
3537602,"Peruíbe",11.69,2022,"Escolaridade",10.86,"Taxas de distorção idade-série no Ensino Médio (%)"
3537602,"Peruíbe",10.3,2024,"Escolaridade",9.47,"Taxas de distorção idade-série no Ensino Médio (%)"
3541000,"Praia Grande",19.83660965,2014,"Escolaridade",14.5,"Taxas de distorção idade-série no Ensino Médio (%)"
3541000,"Praia Grande",18.97197039,2016,"Escolaridade",13.57,"Taxas de distorção idade-série no Ensino Médio (%)"
3541000,"Praia Grande",18.1954262,2018,"Escolaridade",13.23,"Taxas de distorção idade-série no Ensino Médio (%)"
3541000,"Praia Grande",16.76523933,2020,"Escolaridade",12.07,"Taxas de distorção idade-série no Ensino Médio (%)"
3541000,"Praia Grande",16,2022,"Escolaridade",10.86,"Taxas de distorção idade-série no Ensino Médio (%)"
3541000,"Praia Grande",12.9,2024,"Escolaridade",9.47,"Taxas de distorção idade-série no Ensino Médio (%)"
3548500,"Santos",14.25026123,2014,"Escolaridade",14.5,"Taxas de distorção idade-série no Ensino Médio (%)"
3548500,"Santos",15.09933775,2016,"Escolaridade",13.57,"Taxas de distorção idade-série no Ensino Médio (%)"
3548500,"Santos",15.26593585,2018,"Escolaridade",13.23,"Taxas de distorção idade-série no Ensino Médio (%)"
3548500,"Santos",12.46404602,2020,"Escolaridade",12.07,"Taxas de distorção idade-série no Ensino Médio (%)"
3548500,"Santos",11.5,2022,"Escolaridade",10.86,"Taxas de distorção idade-série no Ensino Médio (%)"
3548500,"Santos",8.2,2024,"Escolaridade",9.47,"Taxas de distorção idade-série no Ensino Médio (%)"
3551009,"São Vicente",17.04226482,2014,"Escolaridade",14.5,"Taxas de distorção idade-série no Ensino Médio (%)"
3551009,"São Vicente",19.00738237,2016,"Escolaridade",13.57,"Taxas de distorção idade-série no Ensino Médio (%)"
3551009,"São Vicente",21.96856616,2018,"Escolaridade",13.23,"Taxas de distorção idade-série no Ensino Médio (%)"
3551009,"São Vicente",19.96722207,2020,"Escolaridade",12.07,"Taxas de distorção idade-série no Ensino Médio (%)"
3551009,"São Vicente",20,2022,"Escolaridade",10.86,"Taxas de distorção idade-série no Ensino Médio (%)"
3551009,"São Vicente",15.7,2024,"Escolaridade",9.47,"Taxas de distorção idade-série no Ensino Médio (%)"
