"cod_ibge","municipio","valor","ano","tipo","valor_estado","metrica"
3506359,"Bertioga",7.542889821,2014,"Riqueza",2.54,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3506359,"Bertioga",7.027418866,2016,"Riqueza",2.37,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3506359,"Bertioga",6.579355537,2018,"Riqueza",2.65,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3506359,"Bertioga",7.229864374,2020,"Riqueza",2.69,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3506359,"Bertioga",6.248446615,2022,"Riqueza",2.69,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3506359,"Bertioga",6.59620445,2024,"Riqueza",2.9,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3513504,"Cubatão",2.702999703,2014,"Riqueza",2.54,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3513504,"Cubatão",2.435408748,2016,"Riqueza",2.37,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3513504,"Cubatão",2.509939549,2018,"Riqueza",2.65,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3513504,"Cubatão",2.566992848,2020,"Riqueza",2.69,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3513504,"Cubatão",2.68250262,2022,"Riqueza",2.69,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3513504,"Cubatão",3.002206659,2024,"Riqueza",2.9,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3518701,"Guarujá",4.041791301,2014,"Riqueza",2.54,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3518701,"Guarujá",3.660362035,2016,"Riqueza",2.37,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3518701,"Guarujá",3.681305752,2018,"Riqueza",2.65,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3518701,"Guarujá",3.740783001,2020,"Riqueza",2.69,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3518701,"Guarujá",3.738698916,2022,"Riqueza",2.69,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3518701,"Guarujá",3.939161193,2024,"Riqueza",2.9,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3522109,"Itanhaém",3.611391677,2014,"Riqueza",2.54,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3522109,"Itanhaém",3.280429754,2016,"Riqueza",2.37,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3522109,"Itanhaém",3.87872702,2018,"Riqueza",2.65,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3522109,"Itanhaém",4.044733891,2020,"Riqueza",2.69,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3522109,"Itanhaém",3.682296695,2022,"Riqueza",2.69,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3522109,"Itanhaém",3.818466179,2024,"Riqueza",2.9,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3531100,"Mongaguá",3.571437023,2014,"Riqueza",2.54,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3531100,"Mongaguá",3.2923422,2016,"Riqueza",2.37,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3531100,"Mongaguá",3.969433852,2018,"Riqueza",2.65,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3531100,"Mongaguá",4.093264971,2020,"Riqueza",2.69,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3531100,"Mongaguá",3.787134367,2022,"Riqueza",2.69,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3531100,"Mongaguá",3.905869056,2024,"Riqueza",2.9,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3537602,"Peruíbe",3.271552675,2014,"Riqueza",2.54,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3537602,"Peruíbe",3.068121275,2016,"Riqueza",2.37,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3537602,"Peruíbe",3.691969248,2018,"Riqueza",2.65,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3537602,"Peruíbe",3.913933419,2020,"Riqueza",2.69,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3537602,"Peruíbe",3.87760729,2022,"Riqueza",2.69,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3537602,"Peruíbe",4.040254977,2024,"Riqueza",2.9,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3541000,"Praia Grande",3.973300924,2014,"Riqueza",2.54,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3541000,"Praia Grande",3.497423711,2016,"Riqueza",2.37,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3541000,"Praia Grande",4.050493164,2018,"Riqueza",2.65,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3541000,"Praia Grande",4.070257603,2020,"Riqueza",2.69,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3541000,"Praia Grande",3.728045819,2022,"Riqueza",2.69,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3541000,"Praia Grande",4.035518345,2024,"Riqueza",2.9,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3548500,"Santos",3.735328635,2014,"Riqueza",2.54,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3548500,"Santos",3.166530154,2016,"Riqueza",2.37,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3548500,"Santos",3.511455859,2018,"Riqueza",2.65,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3548500,"Santos",3.441194951,2020,"Riqueza",2.69,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3548500,"Santos",3.405375208,2022,"Riqueza",2.69,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3548500,"Santos",3.735023612,2024,"Riqueza",2.9,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3551009,"São Vicente",2.974768434,2014,"Riqueza",2.54,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3551009,"São Vicente",2.627137927,2016,"Riqueza",2.37,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3551009,"São Vicente",2.823317341,2018,"Riqueza",2.65,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3551009,"São Vicente",2.815333515,2020,"Riqueza",2.69,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3551009,"São Vicente",2.814302304,2022,"Riqueza",2.69,"Consumo anual de energia elétrica residencial (MWh) por ligação"
3551009,"São Vicente",3.041483172,2024,"Riqueza",2.9,"Consumo anual de energia elétrica residencial (MWh) por ligação"
